t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,G_kwh,C_kwh,D_kwh,E_kwh,W_kwh,u,E_start_kwh,soc_fraction,cost_yuan
133,134,22:10,22:00-22:10,1320,1330,0.3859,3309.3934,0.0,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,2616.6666666666665,0.0,1.0,1908.3333333333333,0.21805555555555553,534.43248551
134,135,22:20,22:10-22:20,1330,1340,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.8260499999999,0.0,0.0,2616.6666666666665,0.0,0.0,2616.6666666666665,0.21805555555555553,248.46321863999998
135,136,22:30,22:20-22:30,1340,1350,0.4198,3381.9313,0.0,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,3325.0,0.0,1.0,2616.6666666666665,0.27708333333333335,586.45579329
136,137,22:40,22:30-22:40,1350,1360,0.4186,3386.5592,0.0,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,4033.333333333333,0.0,1.0,3325.0,0.3361111111111111,585.1022801866667
137,138,22:50,22:40-22:50,1360,1370,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.7474333333332,0.0,0.0,4033.333333333333,0.0,0.0,4033.333333333333,0.3361111111111111,240.3575864766666
138,139,23:00,22:50-23:00,1370,1380,0.4237,3399.2426,0.0,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,4741.666666666666,0.0,1.0,4033.333333333333,0.3951388888888888,593.1265149366667
139,140,23:10,23:00-23:10,1380,1390,0.4248,3406.9809,0.0,567.83015,0.0,567.83015,0.0,0.0,4741.666666666666,0.0,0.0,4741.666666666666,0.3951388888888888,241.21424772
140,141,23:20,23:10-23:20,1390,1400,0.424,3416.1518,0.0,569.3586333333333,0.0,569.3586333333333,0.0,0.0,4741.666666666666,0.0,0.0,4741.666666666666,0.3951388888888888,241.4080605333333
141,142,23:30,23:20-23:30,1400,1410,0.422,3421.9811,0.0,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,5449.999999999999,0.0,1.0,4741.666666666666,0.4541666666666666,592.3460040333332
142,143,23:40,23:30-23:40,1410,1420,0.424,3429.6923,0.0,571.6153833333333,0.0,1218.6742068627461,647.0588235294128,0.0,6000.0,0.0,1.0,5449.999999999999,0.5,516.7178637098043
143,144,23:50,23:40-23:50,1420,1430,0.4271,3439.061,0.0,573.1768333333333,0.0,573.1768333333333,0.0,0.0,6000.0,0.0,0.0,6000.0,0.5,244.80382551666665
144,145,0:00+1,23:50-24:00,1430,1440,0.4276,3444.7259,0.0,574.1209833333332,0.0,574.1209833333332,0.0,0.0,6000.0,0.0,0.0,6000.0,0.5,245.49413247333328
